Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name
3940,"Grizzlies tame Mavericks, 110-96",2015-16,http://global.nba.com/news/grizzlies-tame-mavericks-110-96/,NBA News,Default,Default,Default,-0.0675770308123249,-0.0675770308123249,Jeff Green
3941,Bulls hang on against scrappy Blazers,2015-16,http://global.nba.com/news/bulls-hang-on-against-scrappy-blazers/,NBA News,Default,Default,Default,0.1022079772079772,0.1022079772079772,Joakim Noah
3942,Hawks retire Mutombo’s jersey at halftime vs. Celtics,2015-16,http://global.nba.com/news/hawks-retire-mutombos-jersey-at-halftime-vs-celtics/,NBA News,Default,Default,Default,0.025,0.025,James Harden
3943,Clippers Hoping Success After 6-7 Start Isn’t Hard To Find (With Cavs As Prime Example),2015-16,http://global.nba.com/news/a-look-back-at-6-7-starts-turning-around/,NBA News,Default,Default,Default,0.0558431537598204,0.0558431537598204,Chris Paul
3944,The Stats To Know Behind Warriors-Lakers on NBA LEAGUE PASS,2015-16,http://global.nba.com/news/the-stats-to-know-behind-warriors-lakers-on-nba-league-pass/,NBA News,Default,Default,Default,0.4708333333333334,0.4708333333333334,James Harden
3945,Aldridge Remains Questionable For Spurs-Mavericks On Wednesday,2015-16,http://global.nba.com/news/spurs-injury-report-112415/,NBA News,Default,Default,Default,-0.1166666666666667,-0.1166666666666667,LaMarcus Aldridge
3946,Mutombo A Hall-of-Famer On And Off The Court,2015-16,http://global.nba.com/news/mutombo-a-hall-of-famer-on-and-off-the-court/,NBA News,Default,Default,Default,0.105807705026455,0.105807705026455,James Harden
3947,Hawks Hosting ‘Block Party’ At Dikembe Mutombo’s Nov. 24 Jersey Retirement,2015-16,http://global.nba.com/news/hawks-hosting-block-party-at-dikembe-mutombos-nov-24-jersey-retirement/,NBA News,Default,Default,Default,0.0807692307692307,0.0807692307692307,James Harden
3948,"Surging Warriors Seeking History, While Struggling Lakers Look To Stand In Way",2015-16,http://global.nba.com/news/game-preview-warriors-v-lakers/,Joel Bartilotta via RotoWire.com,None,None,None,0.179247619047619,0.179247619047619,Stephen Curry
3949,A Bulls All-Timer: Hinrich Now Tops Chicago Charts In 3’s,2015-16,http://global.nba.com/news/a-bulls-all-timer-2/,NBA News,Default,Default,Default,0.1463325192335887,0.1463325192335887,Stephen Curry
