,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
388,Damion Lee,29,7.1,0.5,-2.0,0.4,14.9,1.8,0.196,63,False,1256,-2.4,2.4,0.9,10.9,['SHOOTING GUARD'],leeda03,1.5,GOLDEN STATE WARRIORS,0.488,8.8,0.561,8.4,15.8,0.0,2.7,0.102
201,Trent Forrest,23,18.6,0.7,-1.0,1.2,10.5,0.8,0.31,60,False,765,-2.3,3.4,0.5,10.9,['POINT GUARD'],forretr01,1.9,UTAH JAZZ,0.174,7.1,0.554,21.4,12.8,0.2,1.3,0.084
451,Davion Mitchell,23,22.5,1.0,-3.8,-1.7,7.0,0.6,0.101,75,False,2076,-2.1,1.7,-0.5,10.8,['POINT GUARD'],mitchda01,1.3,SACRAMENTO KINGS,0.38,4.4,0.489,11.5,20.6,-0.9,0.1,0.003
134,Torrey Craig,31,7.7,1.6,-2.2,-0.6,14.9,0.4,0.125,51,False,1034,-1.6,6.3,0.8,10.8,['SMALL FORWARD'],craigto01,1.1,INDIANA PACERS,0.491,10.5,0.555,11.6,13.9,-0.1,1.2,0.056
10,Justin Anderson,28,17.3,0.0,-2.6,0.4,13.8,0.0,0.5,3,False,47,-3.0,0.0,0.1,10.7,['SMALL FORWARD'],anderju01,1.1,CLEVELAND CAVALIERS,0.75,7.1,0.666,17.0,11.1,0.0,0.1,0.124
484,Georges Niang,28,8.7,0.7,-1.9,-1.1,11.3,1.3,0.105,76,False,1736,-0.8,1.6,1.5,10.7,['POWER FORWARD'],niangge01,0.9,PHILADELPHIA 76ERS,0.687,6.5,0.594,9.1,16.8,0.0,2.8,0.077
243,Quentin Grimes,21,8.5,1.4,-0.3,0.9,9.8,0.9,0.081,46,False,786,-1.2,3.2,0.6,10.7,['SHOOTING GUARD'],grimequ01,2.0,NEW YORK KNICKS,0.804,6.4,0.565,10.3,15.1,0.3,1.4,0.087
628,Daniel Theis,29,5.1,2.6,-3.4,-0.9,18.5,0.3,0.223,26,False,584,-2.6,6.0,0.1,10.7,['CENTER'],theisda01,0.9,HOUSTON ROCKETS,0.441,12.2,0.554,13.6,16.5,-0.2,0.3,0.028
471,Mychal Mulder,27,6.3,2.4,-3.9,-2.6,7.6,0.0,0.2,2,False,44,-1.3,0.0,0.1,10.7,['POINT GUARD'],muldemy01,0.0,MIAMI HEAT,0.8,3.9,0.643,0.0,11.0,0.0,0.1,0.132
659,Gabe Vincent,25,19.4,0.8,-1.4,0.5,7.3,1.9,0.105,68,False,1589,-1.9,1.6,0.7,10.6,['POINT GUARD'],vincega01,2.0,MIAMI HEAT,0.63,4.5,0.551,15.4,17.8,0.2,2.5,0.076
