,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
312,Brandon Ingram,1869,55,1246,NEW ORLEANS PELICANS,24,307,983,322,226,26,285,55,453,266,74,35,119,['SMALL FORWARD'],ingrabr01,34,151
286,Jrue Holiday,2207,67,1225,MILWAUKEE BUCKS,31,457,954,180,321,29,232,64,478,137,132,69,133,['POINT GUARD'],holidjr01,108,183
96,Jimmy Butler,1931,57,1219,MIAMI HEAT,32,312,829,455,116,27,234,57,398,396,27,102,88,['SMALL FORWARD'],butleji01,94,121
702,Christian Wood,2094,68,1218,HOUSTON ROCKETS,26,155,878,332,336,65,576,67,440,207,131,110,171,['CENTER'],woodch01,54,126
662,Franz Wagner,2429,79,1197,ORLANDO MAGIC,20,231,975,219,271,34,272,79,456,189,96,84,164,['SMALL FORWARD'],wagnefr01,68,119
570,D'Angelo Russell,2077,65,1176,MINNESOTA TIMBERWOLVES,25,460,975,240,518,22,191,65,401,198,176,25,130,['POINT GUARD'],russeda01,62,165
71,Mikal Bridges,2854,82,1162,PHOENIX SUNS,25,185,858,157,312,36,273,82,458,131,115,74,150,['SMALL FORWARD'],bridgmi01,96,68
237,Jalen Green,2138,67,1157,HOUSTON ROCKETS,19,176,954,236,458,18,193,67,406,188,157,33,103,['SHOOTING GUARD'],greenja05,44,135
35,Scottie Barnes,2617,74,1134,TORONTO RAPTORS,20,256,932,215,193,55,362,74,459,158,58,195,192,['POWER FORWARD'],barnesc01,80,136
379,Kyle Kuzma,2204,66,1130,WASHINGTON WIZARDS,26,233,936,219,375,57,491,66,423,156,128,70,128,['POWER FORWARD'],kuzmaky01,42,169
230,Aaron Gordon,2376,75,1126,DENVER NUGGETS,26,188,834,230,260,44,314,75,434,171,87,125,148,['POWER FORWARD'],gordoaa01,44,133
