Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment
123,LeBron mulls return to U.S. Olympic Team under Popovich,2016-17,http://global.nba.com/news/lebron-mulls-return-to-u-s-olympic-team-under-popovich-2/,NBA News,Default,Default,Default,0.1248958333333333,0.12489583333333334
124,Larry Bird sounds off on Pacers,2016-17,http://global.nba.com/news/larry-bird-sounds-off-on-pacers/,NBA News,Default,Default,Default,0.2012934261755017,0.2012934261755017
125,Leonard’s career-high pushes Spurs past Cavs in overtime,2016-17,http://global.nba.com/news/leonards-career-high-pushes-spurs-past-cavs-in-overtime/,NBA News,Default,Default,Default,0.0889875244305624,0.0889875244305624
126,"Jazz beat Pacers, win sixth straight game",2016-17,http://global.nba.com/news/the-roundup-jazz-109-pacers-100/,Matt Payne,846,594,1474,0.1281687242798353,0.12816872427983536
127,"Grizzlies come up short against Rockets, 95-119",2016-17,http://global.nba.com/news/grizzlies-come-up-short-against-rockets-95-119/,Roy Wells,1,None,None,-0.0224025974025974,-0.022402597402597407
128,Bulls hold off Kings in 102-99 thriller,2016-17,http://global.nba.com/news/bulls-hold-off-kings-in-102-99-thriller/,Luka Dukich,13,None,None,0.0079725829725829,0.007972582972582968
129,Hornets finish off Nets in fourth,2016-17,http://global.nba.com/news/hornets-finish-off-nets-in-fourth/,Miguel Ramirez,None,None,None,0.1369907407407407,0.13699074074074072
130,"Waiters, Dragic lead Heat past Bucks",2016-17,http://global.nba.com/news/bucks-97-heat-109-game-recap/,Joe Beguiristain,452,None,None,-0.01902189888301,-0.01902189888301
131,"D’Angelo Russell suffers mild MCL sprain, to miss 1-2 weeks",2016-17,http://global.nba.com/news/dangelo-russell-injury-update/,Ty Nowell,123,None,None,0.1649659863945578,0.1649659863945578
132,"Melo misses last-second shot, Suns escape with road win",2016-17,http://global.nba.com/news/phx-107-nyk-105-melo-misses-last-second-shot-suns-escape-with-road-win/,Jonah Ballow,117,13930,24132,0.0062442607897153,0.006244260789715335
133,Wild finish as Morris tip at buzzer gives Pistons big win over Wizards,2016-17,http://global.nba.com/news/wild-finish-as-morris-tip-at-buzzer-gives-pistons-big-win-over-wizards/,Keith Langlois,1847,20186,45418,0.1050108932461873,0.10501089324618734
134,Blazers finish four-game trip with gutsy overtime win in Boston,2016-17,http://global.nba.com/news/blazers-finish-four-game-trip-with-gutsy-overtime-win-in-boston/,Casey Holdahl,1828,47145,107747,0.0262110016420361,0.02621100164203612
135,Nuggets Travel To Minnesota To Take On The Timberwolves,2016-17,http://global.nba.com/news/game-preview-timberwolves-v-nuggets-3/,Dan Bruno via RotoWire.com,None,None,None,0.1891369047619047,0.18913690476190478
136,NBA Saturday Primetime Returns As Spurs Visit Champs (20:30 ET),2016-17,http://global.nba.com/news/nba-saturday-primetime-returns-as-spurs-visit-champs-2030-et/,NBA News,Default,Default,Default,0.0263819875776397,0.02638198757763975
137,Gobert’s Career Night Helps Jazz Grab OT Win,2016-17,http://global.nba.com/news/goberts-career-night-helps-jazz-grab-ot-win/,NBA News,Default,Default,Default,-0.019963023088023,-0.019963023088023092
138,Shootaround: More Fuel for Westbrook’s Super Season,2016-17,http://global.nba.com/news/shootaround-more-fuel-for-westbrooks-super-season/,NBA News,Default,Default,Default,0.2099057539682541,0.2099057539682541
