,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
338,Best Of The Windy City: The All-Chicago NBA Teams,2020,http://global.nba.com/news/best-of-the-windy-city-the-all-chicago-nba-teams/,"Steve Aschburner, NBA.com",13,91,42,0.1356111973775017,0.1356111973775017,James Harden,0.0164000840069801,0.5639772415161133
339,"Power Rankings, Week 17: Minor Moves Could Have Major Impact On Playoff Races",2020,http://global.nba.com/news/power-rankings-week-17-minor-moves-could-have-major-impact-on-playoff-races/,John Schuhmann,890,84859,48341,0.1100176639599717,0.1100176639599717,Damian Lillard,0.0164781767809162,0.553528904914856
340,Why Chicago Is The Real Mecca Of Basketball,2020,http://global.nba.com/news/why-chicago-is-the-real-mecca-of-basketball/,"Steve Aschburner, NBA.com",13,91,42,0.1205942979579343,0.1205942979579343,Anthony Davis,0.0445759077730152,0.5484086871147156
341,USA Basketball Announces 44 Finalists For 2020 U.S. Olympic Men’s Team,2020,http://global.nba.com/news/usa-basketball-announces-44-finalists-for-2020-u-s-olympic-mens-team/,Official Release,21996,84859,93866,0.1942784992784993,0.1942784992784993,Joe Harris,0.0724765668358761,0.5609008073806763
342,5 Can’t-Miss Matchups: Kemba Walker vs. Russell Westbrook,2020,http://global.nba.com/news/5-cant-miss-matchups-kemba-walker-vs-russell-westbrook/,Michael C. Wright,13,91,42,0.0541350159274687,0.0541350159274687,Russell Westbrook,0.1079653135039084,0.5450509786605835
343,6 NBA Things To Know For Feb. 10,2020,http://global.nba.com/news/6-nba-things-to-know-for-feb-10/,Jeff Case,122,91,42,0.2234083850931677,0.2234083850931677,Devin Booker,0.1144511297203767,0.538442075252533
344,Blazers Beat Heat 115-109 In Iguodala’s Debut For Miami,2020,http://global.nba.com/news/blazers-beat-heat-115-109-in-iguodalas-debut-for-miami/,NBA News,21996,84859,93866,0.0596894771894771,0.0596894771894771,Damian Lillard,0.2102977087900577,0.553528904914856
345,Lou Williams Powers Clippers To Win vs. Cavaliers,2020,http://global.nba.com/news/lou-williams-powers-clippers-to-win-vs-cavaliers/,NBA News,21996,84859,93866,0.0574213776419658,0.0574213776419658,Kawhi Leonard,0.0741765713768462,0.5799157023429871
346,"Young Scores 48 Points, Hawks Beat Knicks 140-135 In 2 OTs",2020,http://global.nba.com/news/young-scores-48-points-hawks-beat-knicks-140-135-in-2-ots/,NBA News,21996,84859,93866,0.0988504689754689,0.0988504689754689,James Harden,0.0468182722549443,0.5639772415161133
347,Bogdanovic’s 3 At Buzzer Gives Jazz 114-113 Win Over Rockets,2020,http://global.nba.com/news/bogdanovics-3-at-buzzer-gives-jazz-114-113-win-over-rockets/,NBA News,21996,84859,93866,0.174793228451765,0.174793228451765,P.J. Tucker,0.121355377488707,0.6078054308891296
