Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
5811,Doncic’s 21 Points Lead Mavs Past Trail Blazers 111-102,2019,http://global.nba.com/news/doncics-21-points-lead-mavs-past-trail-blazers-111-102/,NBA News,Default,Default,Default,-0.0183235415378272,-0.0183235415378272,Damian Lillard,0.0846618661142891
5812,"Gordon Scores 20, Magic Run Away To Top Heat 105-90",2019,http://global.nba.com/news/gordon-scores-20-magic-run-away-to-top-heat-105-90/,NBA News,Default,Default,Default,0.0978995494301616,0.0978995494301616,Aaron Gordon,0.039642011028876475
5813,Turner’s Double-Double Leads Pacers Past Bulls 96-90,2019,http://global.nba.com/news/turners-double-double-leads-pacers-past-bulls-96-90/,NBA News,Default,Default,Default,0.0545270890725436,0.0545270890725436,Victor Oladipo,0.10365928821029745
5814,Hawks’ Prince Out At Least Three Weeks With Ankle Injury,2019,http://global.nba.com/news/hawks-prince-out-at-least-three-weeks-with-ankle-injury/,NBA News,Default,Default,Default,-0.028395061728395,-0.028395061728395,James Harden,0.0
5815,Markelle Fultz Diagnosed With Nerve Condition,2019,http://global.nba.com/news/markelle-fultz-diagnosed-with-nerve-condition/,NBA News,Default,Default,Default,0.0454545454545454,0.0454545454545454,James Harden,0.0
5816,Utah’s Gobert Fined,2019,http://global.nba.com/news/utahs-gobert-fined/,NBA News,Default,Default,Default,0.009090909090909,0.009090909090909,Rudy Gobert,0.6015315386729193
5817,Grizzlies Sign Veteran Center Noah,2019,http://global.nba.com/news/grizzlies-sign-veteran-center-noah/,NBA News,Default,Default,Default,0.1318181818181818,0.1318181818181818,James Harden,0.0
5818,"Road-Weary Jazz, Korver Finally Home To Face Spurs",2019,http://global.nba.com/news/road-weary-jazz-finally-home-to-face-spurs/,NBA News,Default,Default,Default,0.1570413436692506,0.1570413436692506,Donovan Mitchell,0.06601763657830065
5819,Kings Will Look To Take Advantage Of Shorthanded Suns,2019,http://global.nba.com/news/kings-will-look-to-take-advantage-of-shorthanded-suns/,NBA News,Default,Default,Default,0.1210869274758163,0.1210869274758163,Devin Booker,0.08238471890826408
5820,Clippers’ Patrick Beverley Fined,2019,http://global.nba.com/news/clippers-patrick-beverley-fined/,NBA News,Default,Default,Default,-0.0606060606060606,-0.0606060606060606,James Harden,0.0
5821,Mavericks To Focus On Defense vs. Blazers,2019,http://global.nba.com/news/mavericks-to-focus-on-defense-vs-blazers/,NBA News,Default,Default,Default,0.0725835110163468,0.0725835110163468,Damian Lillard,0.08685378588876133
5822,"Heat, Magic Meet For First Time Since Season Opener",2019,http://global.nba.com/news/heat-magic-meet-for-first-time-since-season-opener/,NBA News,Default,Default,Default,0.1588319856244384,0.1588319856244384,Donovan Mitchell,0.03986634283060555
5823,Bulls Face Pacers In Boylen’s First Game As Head Coach,2019,http://global.nba.com/news/bulls-face-pacers-in-boylens-first-game-as-head-coach/,NBA News,Default,Default,Default,-0.0457629430190405,-0.0457629430190405,Lauri Markkanen,0.06195363757576767
5824,Kobe Confident LeBron Will Bring Another NBA Title To Lakers,2019,http://global.nba.com/news/kobe-confident-lebron-will-bring-another-nba-title-to-lakers/,NBA News,Default,Default,Default,0.0679932970255551,0.0679932970255551,LeBron James,0.14677602576377505
5825,Nuggets’ Harris Set To Have MRI On Hip Injury,2019,http://global.nba.com/news/nuggets-harris-set-to-have-mri-on-hip-injury/,NBA News,Default,Default,Default,-0.0852941176470588,-0.0852941176470588,James Harden,0.0
5826,About Last Night: Jokic To The Rescue,2019,http://global.nba.com/news/about-last-night-jokic-to-the-rescue/,NBA News,Default,Default,Default,0.1627383529169243,0.1627383529169243,Stephen Curry,0.09429392788042468
5827,Bulls Promote Associate Head Coach Jim Boylen To Lead Role,2019,http://global.nba.com/news/bulls-promote-associate-head-coach-jim-boylen-to-lead-role/,NBA News,Default,Default,Default,0.0729768410096279,0.0729768410096279,Zach LaVine,0.035275090712976666
5828,Nuggets’ Gary Harris Exits vs. Raptors With Hip Injury,2019,http://global.nba.com/news/nuggets-gary-harris-exits-vs-raptors-with-hip-injury/,NBA News,Default,Default,Default,-0.2,-0.2,James Harden,0.0
5829,"Harris, Gallinari Help Clippers Hold Off Pelicans",2019,http://global.nba.com/news/harris-gallinari-help-clippers-hold-off-pelicans/,NBA News,Default,Default,Default,0.0823907254361799,0.0823907254361799,Julius Randle,0.06664214414308567
5830,"Towns, Wolves Use Big Second Half To Beat Rockets",2019,http://global.nba.com/news/towns-wolves-use-big-second-half-to-beat-rockets/,NBA News,Default,Default,Default,0.0129454926624737,0.0129454926624737,James Harden,0.12206996117015817
5831,Jokic’s Triple-Double Leads Nuggets Past Raptors,2019,http://global.nba.com/news/jokic-triple-double-leads-nuggets-past-raptors/,NBA News,Default,Default,Default,0.0987580437580437,0.0987580437580437,Kawhi Leonard,0.12292193638370352
5832,Big Three Leads Warriors To Win Over Atlanta,2019,http://global.nba.com/news/big-three-leads-warriors-to-win-over-atlanta/,NBA News,Default,Default,Default,0.0571296296296296,0.0571296296296296,Kevin Durant,0.1362335350438234
5833,Burks’ Late Dunk Seals Cavs’ 99-97 Win Over Slumping Nets,2019,http://global.nba.com/news/burks-late-dunk-seals-cavs-99-97-win-over-slumping-nets/,NBA News,Default,Default,Default,0.0443602693602693,0.0443602693602693,LeBron James,0.07209838121043662
5834,"Adams, Westbrook Lead Thunder To Rout Of Pistons",2019,http://global.nba.com/news/adams-westbrook-lead-thunder-to-rout-of-pistons/,NBA News,Default,Default,Default,0.0672222222222222,0.0672222222222222,Paul George,0.07100831037351031
5835,Pelicans Rule Out Mirotic With Illness vs. Clippers,2019,http://global.nba.com/news/pelicans-rule-out-mirotic-with-illness-vs-clippers/,NBA News,Default,Default,Default,0.0487360853432281,0.0487360853432281,James Harden,0.0
5836,"Clippers Visit Pelicans, Aim To Keep Up Winning Ways",2019,http://global.nba.com/news/clippers-visit-pelicans-aim-to-keep-winning-ways/,NBA News,Default,Default,Default,0.1379992784992784,0.1379992784992784,Julius Randle,0.046743886063546854
5837,Rockets Look For Key Victory vs. Timberwolves,2019,http://global.nba.com/news/rockets-look-for-key-victory-vs-timberwolves/,NBA News,Default,Default,Default,0.185038249421811,0.185038249421811,James Harden,0.04812767732712322
5838,"Hot Teams Nuggets, Raptors Face Each Other In Toronto",2019,http://global.nba.com/news/hot-teams-nuggets-raptors-face-each-other-in-toronto/,NBA News,Default,Default,Default,0.1637329931972788,0.1637329931972788,Kawhi Leonard,0.0980108576627385
5839,"Raptors’ Nick Nurse, Clippers’ Doc Rivers Named Coaches Of The Month",2019,http://global.nba.com/news/raptors-nick-nurse-clippers-doc-rivers-named-coaches-of-the-month/,NBA News,Default,Default,Default,-0.05,-0.05,James Harden,0.0
5840,"Bucks’ Giannis, Clippers’ Harris Named Players Of The Month",2019,http://global.nba.com/news/bucks-giannis-clippers-harris-named-players-of-the-month/,NBA News,Default,Default,Default,0.0266233766233766,0.0266233766233766,James Harden,0.2604874408808246
5841,"Doncic, Young Named NBA Rookies Of The Month",2019,http://global.nba.com/news/doncic-young-named-nba-rookies-of-the-month/,NBA News,Default,Default,Default,-0.0249999999999999,-0.0249999999999999,Trae Young,0.22938767823746303
5842,"Paul Millsap, Kawhi Leonard Named Players Of The Week",2019,http://global.nba.com/news/kawhi-leonard-paul-millsap-earn-week-7-player-of-the-week/,NBA News,Default,Default,Default,-0.0189393939393939,-0.0189393939393939,James Harden,0.37649779379382176
5843,"Knicks, Wizards Look To Build On Wins",2019,http://global.nba.com/news/knicks-wizards-look-to-build-on-wins/,NBA News,Default,Default,Default,0.2102823102823103,0.2102823102823103,Bradley Beal,0.05115652032054888
5844,Nets Look To Snap Losing Streak vs. Cavaliers,2019,http://global.nba.com/news/nets-look-to-snap-losing-streak-vs-cavaliers/,NBA News,Default,Default,Default,0.064789019224503,0.064789019224503,Collin Sexton,0.07941293874413101
5845,Hawks Return Home To Face Warriors With Curry,2019,http://global.nba.com/news/hawks-return-home-to-face-warriors-with-curry/,NBA News,Default,Default,Default,0.0709325396825396,0.0709325396825396,Kevin Durant,0.06749343505973138
