Unnamed: 0,title,time,url,author
102,"Lakers, LeBron Roll In Game 1 Of Finals, Top Heat 116-98","October 1, 2020",http://global.nba.com/news/lakers-lebron-roll-in-game-1-of-finals-top-heat-116-98/,Tim Reynolds | AP Basketball Writer
103,"LeBron James, Tyler Herro Lead NBA In Social Media Follower Growth During NBA Restart","September 30, 2020",http://global.nba.com/news/lebron-james-tyler-herro-lead-nba-in-social-media-follower-growth-during-nba-restart/,NBA News
104,LeBron James And Los Angeles Lakers Lead NBA’s Most Popular Jersey And Team Merchandise Lists,"September 30, 2020",http://global.nba.com/news/lebron-james-and-los-angeles-lakers-lead-nbas-most-popular-jersey-and-team-merchandise-lists/,Official Release
105,LeBron Returns To Familiar Stage With 10th Finals Appearance,"September 30, 2020",http://global.nba.com/news/lebron-returns-to-familiar-stage-with-10th-finals-appearance/,Brian Martin
106,"Consensus Mock Draft: In Most Recent Look, Obi Toppin Sees Stock Rise","September 30, 2020",http://global.nba.com/news/consensus-mock-draft-in-most-recent-look-obi-toppin-sees-stock-rise/,Drew Packham
107,NBA Announces Officials For The NBA Finals 2020,"September 30, 2020",http://global.nba.com/news/nba-announces-officials-for-the-nba-finals-2020/,Official Release
108,Heat Look To Subdue Lakers In Game 1 Of NBA Finals,"September 29, 2020",http://global.nba.com/news/heat-look-to-subdue-lakers-in-game-1-of-nba-finals/,NBA News
109,Chris Paul Enrolls In North Carolina HBCU To Encourage Vote,"September 29, 2020",http://global.nba.com/news/chris-paul-enrolls-in-north-carolina-hbcu-to-encourage-vote/,NBA.com
110,LeBron James Knows Anything Is Possible In The Finals,"September 29, 2020",http://global.nba.com/news/lebron-james-knows-anything-is-possible-in-the-finals/,Shaun Powell
111,New California Law Prompted By Crash That Killed Kobe Bryant,"September 29, 2020",http://global.nba.com/news/new-california-law-prompted-by-crash-that-killed-kobe-bryant/,Associated Press
112,A Whole New Finals: NBA Restart By The Numbers,"September 29, 2020",http://global.nba.com/news/a-whole-new-finals-nba-restart-by-the-numbers/,Official Release
113,4 Factors That Could Help Heat Upset Lakers,"September 29, 2020",http://global.nba.com/news/4-factors-that-could-help-heat-upset-lakers/,"Sekou Smith, NBA.com"
114,NBA Unveils New Court Design For 2020 NBA Finals Presented By YouTube TV,"September 29, 2020",http://global.nba.com/news/nba-unveils-new-court-design-for-2020-nba-finals-presented-by-youtube-tv/,Official Release
115,Reports: Mark Cuban Reaches Out To Help Delonte West,"September 29, 2020",http://global.nba.com/news/reports-mark-cuban-reaches-out-to-help-delonte-west/,NBA Twitter and media reports
116,Boston Celtics See Bright Future Despite Loss In East Finals,"September 28, 2020",http://global.nba.com/news/boston-celtics-see-bright-future-despite-loss-in-east-finals/,Associated Press
117,Numbers Preview: The Finals — Los Angeles Lakers vs. Miami Heat,"September 28, 2020",http://global.nba.com/news/numbers-preview-the-finals-los-angeles-lakers-vs-miami-heat/,John Schuhmann NBA.com
118,Miami Heat’s Pat Riley Still Up For A Fight At 75,"September 28, 2020",http://global.nba.com/news/miami-heats-pat-riley-still-up-for-a-fight-at-75/,Shaun Powell
119,Doc Rivers Out As Clippers Coach After 7 Seasons,"September 28, 2020",http://global.nba.com/news/rivers-out-as-clippers-coach/,Tim Reynolds | The Associated Press
120,"With Ascension To The Finals, Days Of Underestimating Jimmy Butler Over","September 28, 2020",http://global.nba.com/news/with-ascension-to-the-finals-days-of-underestimating-jimmy-butler-over/,Steve Aschburner
121,Bam Adebayo Ignites Heat’s Crucial Fourth-Quarter Flamethrowing,"September 28, 2020",http://global.nba.com/news/bam-adebayo-ignites-heats-crucial-fourth-quarter-flamethrowing/,Sekou Smith
122,"Heat, Lakers Become Unprecedented NBA Finals Opponents","September 28, 2020",http://global.nba.com/news/heat-lakers-become-unprecedented-nba-finals-opponents/,NBA.com Staff
123,"2020 NBA Finals Preview: LeBron Faces Former Squad, Rebuilt In His Wake","September 27, 2020",http://global.nba.com/news/2020-nba-finals-preview-lebron-faces-former-squad-rebuilt-in-his-wake/,Shaun Powell
124,"At Long Last, Lakers’ Frank Vogel Set To See NBA Finals","September 27, 2020",http://global.nba.com/news/at-long-last-lakers-frank-vogel-set-to-see-nba-finals/,Tim Reynolds | The Associated Press
125,"Heat Oust Celtics, Move On To NBA Finals","September 27, 2020",http://global.nba.com/news/heat-oust-celtics-move-on-to-nba-finals/,Tim Reynolds | AP Basketball Writer
126,"After Dispatching Nuggets, LeBron Faces Dual Challenge In 10th Finals","September 27, 2020",http://global.nba.com/news/after-dispatching-nuggets-lebron-faces-dual-challenge-in-10th-finals/,Shaun Powell
127,"Lakers Reach The Finals, But ‘The Job Is Not Done’","September 27, 2020",http://global.nba.com/news/lakers-reach-the-finals-but-the-job-is-not-done/,Sekou Smith
128,"Celtics’ Plan: Take Away Heat 3-Pointers, Force Game 7","September 27, 2020",http://global.nba.com/news/celtics-plan-take-away-heat-3-pointers-force-game-7/,Tim Reynolds | The Associated Press
129,‘Heat Culture’ Will Be Tested By Resurgent Celtics In Game 6,"September 27, 2020",http://global.nba.com/news/heat-culture-will-be-tested-by-resurgent-celtics-in-game-6/,"Steve Aschburner, NBA.com"
130,Closeout Special: LeBron James Leads Lakers Back To NBA Finals,"September 27, 2020",http://global.nba.com/news/closeout-special-lebron-james-leads-lakers-back-to-nba-finals/,NBA.com Staff
131,Heat Take Another Shot At Eliminating Celtics In Game 6,"September 27, 2020",http://global.nba.com/news/heat-take-another-shot-at-eliminating-celtics-in-game-6/,NBA.com
132,"James, Lakers Beat Nuggets In Game 5 To Reach NBA Finals","September 26, 2020",http://global.nba.com/news/james-lakers-beat-nuggets-in-game-5-to-reach-nba-finals/,Associated Press
133,Heat’s Bam Adebayo Takes Blame For Game 5 Loss To Celtics,"September 26, 2020",http://global.nba.com/news/heats-bam-adebayo-takes-blame-for-game-5-loss-to-celtics/,Tim Reynolds | The Associated Press
134,"Walker’s Halftime Speech Settles Celtics, Who Respond With Series-Saving Run","September 26, 2020",http://global.nba.com/news/walkers-halftime-speech-settles-celtics-who-respond-with-series-saving-run/,Steve Aschburner
135,Another NBA Finals Awaits LeBron If Lakers Can Finish Nuggets,"September 26, 2020",http://global.nba.com/news/another-nba-finals-awaits-lebron-if-lakers-can-finish-nuggets/,Brian Mahoney
136,Nuggets Meet Lakers With Season On Brink Yet Again,"September 26, 2020",http://global.nba.com/news/nuggets-meet-lakers-with-season-on-brink-yet-again/,NBA.com
137,"Celtics Control Second Half, Top Heat To Win Game 5 In East","September 26, 2020",http://global.nba.com/news/celtics-control-second-half-top-heat-to-win-game-5-in-east/,Tim Reynolds | AP Basketball Writer
138,"Nuggets Are In A Familiar, Undesirable Position Heading Into Game 5","September 25, 2020",http://global.nba.com/news/nuggets-are-in-a-familiar-undesirable-position-heading-into-game-5/,"Michael C. Wright, NBA.com"
139,"Dwight Howard Rebounds, Fights For Championship Contention","September 25, 2020",http://global.nba.com/news/dwight-howard-rebounds-fights-for-championship-contention/,Sekou Smith
140,Powell: 5 Reasons Lakers’ 3-1 Lead Is One Nuggets Can’t Surmount,"September 25, 2020",http://global.nba.com/news/powell-5-reasons-lakers-3-1-lead-is-one-nuggets-cant-surmount/,Shaun Powell
141,Heat Aim To Close Out Celtics In Game 5,"September 25, 2020",http://global.nba.com/news/heat-aim-to-close-out-celtics-in-game-5/,NBA.com
142,"Davis, Lakers Beat Nuggets To Take 3-1 Lead In West Finals","September 25, 2020",http://global.nba.com/news/davis-lakers-beat-nuggets-to-take-3-1-lead-in-west-finals/,NBA.com
143,"For Billy Donovan, Job With Bulls ‘Came Out Of Left Field’","September 24, 2020",http://global.nba.com/news/for-billy-donovan-job-with-bulls-came-out-of-left-field/,Andrew Seligman | Associated Press
144,"The Q&A: Alex English On Importance Of Voting, Social Justice Causes","September 24, 2020",http://global.nba.com/news/the-qa-alex-english-on-importance-of-voting-social-justice-causes/,Sekou Smith
145,‘Veteran Rookie’ Herro’s Special Night Has Heat 1 Win From Finals,"September 24, 2020",http://global.nba.com/news/veteran-rookie-herros-special-night-has-heat-1-win-from-finals/,Steve Aschburner
146,Unafraid Nuggets Continue To Show Improvement In Each Game Against Top-Seeded Lakers,"September 24, 2020",http://global.nba.com/news/unafraid-nuggets-continue-to-show-improvement-in-each-game-against-top-seeded-lakers/,Michael C. Wright
147,Breonna Taylor Court Ruling Rekindles Social Justice Fires In Bubble,"September 24, 2020",http://global.nba.com/news/breonna-taylor-court-ruling-rekindles-social-justice-fires-in-bubble/,Sekou Smith
148,Lakers Look To Retake Control In Game 4 vs. Nuggets,"September 24, 2020",http://global.nba.com/news/lakers-look-to-retake-control-in-game-4-vs-nuggets/,NBA.com
149,"After 6 Months Off, 8 Non-Disney Teams Get Back To Practice","September 23, 2020",http://global.nba.com/news/after-6-months-off-8-non-disney-teams-get-back-to-practice/,Brian Mahoney | The Associated Press
150,"For NBA Players, Breonna Taylor Decision ‘Not Enough’","September 23, 2020",http://global.nba.com/news/for-nba-players-breonna-taylor-decision-not-enough/,Tim Reynolds | The Associated Press
