title,date,url
NBA: LeBron James misses twice as LA Lakers lose again,23 October 2018,https://www.bbc.co.uk/sport/av/basketball/45952627
NBA: LeBron James hits 40ft buzzer-beater for LA Lakers,11 October 2018,https://www.bbc.co.uk/sport/av/basketball/45830150
LeBron James is first player in the NBA's top 10 all-time scoring and assists lists,26 February 2019,https://www.bbc.co.uk/sport/basketball/47368038
NBA: James Harden 'feels like the MVP' after Brooklyn Nets beat Detroit Pistons,27 March 2021,https://www.bbc.co.uk/sport/basketball/56547740
LeBron James: LA Lakers star dominates on return to Cleveland Cavaliers,22 November 2018,https://www.bbc.co.uk/sport/av/basketball/46305801
"NBA's top plays: Jimmy Butler, LeBron James & DeMar DeRozan star",20 November 2018,https://www.bbc.co.uk/sport/av/basketball/46262000
LeBron James inspires LA Lakers in late comeback on return to Cleveland Cavaliers,22 November 2018,https://www.bbc.co.uk/sport/basketball/46300219
NBA: LeBron James scores first points for LA Lakers,19 October 2018,https://www.bbc.co.uk/sport/av/basketball/45917850
LeBron James hits a triple-double in first home Los Angeles Lakers win,26 October 2018,https://www.bbc.co.uk/sport/basketball/45988828
Cleveland Cavaliers: How LeBron James' exit preceded their NBA slump,20 November 2018,https://www.bbc.co.uk/sport/basketball/46258909
LeBron James: NBA star 'regrets' giving son his name,27 July 2018,https://www.bbc.co.uk/news/world-us-canada-44978813
LeBron James: NBA superstar makes debut for Los Angeles Lakers,3 October 2018,https://www.bbc.co.uk/sport/av/basketball/45733701
LeBron James's NBA move to LA has really got people talking,2 July 2018,https://www.bbc.co.uk/news/newsbeat-44681504
Melania Trump backs NBA star LeBron James after Trump insults,4 August 2018,https://www.bbc.co.uk/news/world-us-canada-45070210
NBA: LeBron James inspires Cleveland to Eastern Conference title,28 May 2018,https://www.bbc.co.uk/sport/av/basketball/44284508
LeBron James opens school for underprivileged children,31 July 2018,https://www.bbc.co.uk/sport/basketball/45018003
NBA: Lebron James' LA Lakers home debut is marred by a fight and ends in defeat,21 October 2018,https://www.bbc.co.uk/sport/basketball/45932208
NBA play-offs: LeBron James helps Cleveland Cavaliers into second round,29 April 2018,https://www.bbc.co.uk/sport/basketball/43944666
