,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
47,Patrick Beverley,31,18.2,1.6,2.2,2.5,15.8,2.0,0.138,51,False,1342,-0.3,4.5,1.6,12.5,['POINT GUARD'],beverpa01,1.9,LOS ANGELES CLIPPERS,0.604,10.3,0.56,15.4,13.3,1.4,3.6,0.128
30,Keita Bates-Diop,24,6.7,2.6,-0.9,-0.1,15.1,0.5,0.316,37,False,646,-0.8,3.3,0.6,12.5,['POWER FORWARD'],bateske01,1.2,MINNESOTA TIMBERWOLVES,0.456,9.0,0.535,5.6,15.8,0.2,1.0,0.077
10,Kyle Anderson,26,15.9,2.4,0.5,2.0,17.6,1.7,0.236,67,False,1330,-1.5,4.7,0.9,12.5,['SMALL FORWARD'],anderky01,1.9,MEMPHIS GRIZZLIES,0.257,11.3,0.534,15.3,13.5,0.9,2.5,0.091
403,Mike Muscala,28,10.1,1.8,-0.1,-0.2,17.3,0.6,0.116,47,False,572,0.1,3.2,0.7,12.5,['CENTER'],muscami01,0.8,OKLAHOMA CITY THUNDER,0.757,10.4,0.569,7.9,16.6,0.3,1.3,0.107
214,Draymond Green,29,31.2,2.4,-0.2,1.9,22.3,1.3,0.263,43,False,1222,-2.1,2.0,-0.2,12.5,['POWER FORWARD'],greendr01,2.3,GOLDEN STATE WARRIORS,0.408,11.8,0.489,21.8,15.7,0.5,1.1,0.044
15,Carmelo Anthony,35,6.4,1.2,-3.6,-1.8,16.1,0.9,0.206,58,False,1902,-1.8,3.9,0.4,12.4,['POWER FORWARD'],anthoca01,1.2,PORTLAND TRAIL BLAZERS,0.289,10.1,0.525,10.5,21.2,-0.8,1.3,0.033
269,Chandler Hutchison,23,7.4,1.3,-2.6,0.1,19.8,0.7,0.446,28,False,527,-2.7,3.6,0.0,12.4,['SMALL FORWARD'],hutchch01,2.5,CHICAGO BULLS,0.217,11.3,0.521,11.4,19.1,-0.1,0.7,0.06
559,P.J. Washington,21,11.3,2.3,-1.6,0.1,16.6,1.5,0.231,58,False,1759,-1.7,3.5,0.5,12.4,['POWER FORWARD'],washipj01,1.5,CHARLOTTE HORNETS,0.39,9.8,0.547,12.5,18.6,0.2,2.0,0.054
478,Rajon Rondo,33,32.9,0.2,-1.4,-0.1,13.1,1.3,0.125,48,False,984,-1.2,2.6,0.1,12.4,['POINT GUARD'],rondora01,1.9,LOS ANGELES LAKERS,0.381,7.9,0.494,20.8,18.7,0.2,1.4,0.068
182,Dorian Finney-Smith,26,7.2,1.6,-0.2,-0.3,12.7,1.5,0.207,71,False,2120,0.1,7.3,3.3,12.3,['POWER FORWARD'],finnedo01,1.0,DALLAS MAVERICKS,0.58,10.0,0.595,10.8,12.9,0.9,4.9,0.11
263,Talen Horton-Tucker,19,10.5,1.1,-2.1,2.0,6.7,0.2,0.133,6,False,81,-4.0,2.7,0.0,12.3,['SHOOTING GUARD'],hortota01,4.7,LOS ANGELES LAKERS,0.433,4.7,0.535,15.9,19.7,0.0,0.1,0.07
169,James Ennis III,29,7.3,1.5,-1.5,0.0,14.5,0.9,0.27,49,False,776,-1.5,6.8,0.9,12.3,['SMALL FORWARD'],ennisja01,1.4,PHILADELPHIA 76ERS,0.469,10.7,0.564,10.9,15.7,0.1,1.7,0.106
195,Langston Galloway,28,8.8,0.5,-0.8,-0.9,7.8,0.7,0.157,66,False,1702,0.0,2.2,2.4,12.3,['SHOOTING GUARD'],gallola01,1.4,DETROIT PISTONS,0.611,5.0,0.584,6.5,15.9,0.5,3.1,0.087
320,Kyle Kuzma,24,7.6,1.5,-2.6,-1.0,15.7,1.9,0.232,61,False,1526,-1.6,3.8,0.1,12.2,['POWER FORWARD'],kuzmaky01,0.9,LOS ANGELES LAKERS,0.407,9.8,0.531,11.0,22.9,-0.2,2.0,0.063
261,Rodney Hood,27,7.0,0.6,-0.9,-0.5,10.4,0.2,0.157,21,False,619,-0.4,1.7,0.9,12.2,['SMALL FORWARD'],hoodro01,1.3,PORTLAND TRAIL BLAZERS,0.413,6.1,0.625,9.4,13.9,0.2,1.1,0.084
181,Yogi Ferrell,26,18.8,0.7,-1.8,-0.3,9.4,0.3,0.223,50,False,530,-1.5,1.2,0.3,12.2,['POINT GUARD'],ferreyo01,1.6,SACRAMENTO KINGS,0.42,5.2,0.528,11.9,19.2,0.0,0.7,0.06
516,Jeff Teague,31,27.3,1.0,-3.2,-1.5,8.8,0.2,0.321,25,False,519,-1.6,2.5,0.2,12.2,['POINT GUARD'],teaguje01,1.7,ATLANTA HAWKS,0.182,5.6,0.512,17.5,18.3,-0.2,0.4,0.035
14,Thanasis Antetokounmpo,27,16.3,1.4,-3.2,1.4,8.7,0.2,0.354,20,False,129,-4.6,9.8,-0.1,12.2,['SMALL FORWARD'],antetth01,2.5,MILWAUKEE BUCKS,0.208,9.2,0.496,17.8,21.6,0.0,0.2,0.07
49,Goga Bitadze,20,6.7,6.9,-2.3,1.8,18.7,0.8,0.22,54,False,471,-4.1,5.9,-0.1,12.1,['CENTER'],bitadgo01,1.0,INDIANA PACERS,0.28,12.3,0.523,14.5,17.9,0.0,0.7,0.067
